qr,product_id,filed,truth,est_x,est_y,est_z,true_x,true_y,true_z,dx_m,dy_m,dz_m,offset_m
WH1|A|06|3|SKU17155,SKU17155,A-06-L3,A-06-L3,-9.7,-7.47,4.15,-9.716,-7.5,4.15,0.016,0.03,0.0,0.034
WH1|B|06|3|SKU16069,SKU16069,B-06-L3,B-06-L3,-7.3,-7.48,4.15,-7.284,-7.45,4.15,-0.016,-0.03,0.0,0.034
WH1|B|01|2|SKU81249,SKU81249,B-01-L2,B-01-L2,-7.3,6.78,2.45,-7.284,6.75,2.45,-0.016,0.03,0.0,0.034
WH1|C|04|2|SKU97879,SKU97879,C-04-L2,C-04-L2,-5.1,-2.18,2.45,-5.116,-2.15,2.45,0.016,-0.03,0.0,0.034
WH1|C|06|2|SKU12443,SKU12443,C-06-L2,C-06-L2,-5.1,-7.58,2.45,-5.116,-7.55,2.45,0.016,-0.03,0.0,0.034
WH1|C|06|3|SKU63955,SKU63955,C-06-L3,C-06-L3,-5.1,-7.62,4.15,-5.116,-7.65,4.15,0.016,0.03,0.0,0.034
WH1|D|06|2|SKU59694,SKU59694,D-06-L2,D-06-L2,-2.7,-7.42,2.45,-2.684,-7.45,2.45,-0.016,0.03,0.0,0.034
WH1|H|05|2|SKU42782,SKU42782,H-05-L2,H-05-L2,6.5,-4.77,2.45,6.516,-4.8,2.45,-0.016,0.03,0.0,0.034
WH1|H|05|1|SKU93898,SKU93898,H-05-L1,H-05-L1,6.5,-4.08,0.75,6.516,-4.05,0.75,-0.016,-0.03,0.0,0.034
WH1|H|05|1|SKU11399,SKU11399,H-05-L1,H-05-L1,6.5,-4.88,0.75,6.516,-4.85,0.75,-0.016,-0.03,0.0,0.034
WH1|B|03|3|SKU49037,SKU49037,B-03-L3,B-03-L3,-7.3,1.52,4.15,-7.284,1.55,4.15,-0.016,-0.03,0.0,0.034
WH1|B|03|2|SKU75790,SKU75790,B-03-L2,B-03-L2,-7.3,1.48,2.45,-7.284,1.45,2.45,-0.016,0.03,0.0,0.034
WH1|F|04|2|SKU56645,SKU56645,F-04-L2,F-04-L2,1.9,-1.42,2.45,1.916,-1.45,2.45,-0.016,0.03,0.0,0.034
WH1|F|03|2|SKU27008,SKU27008,F-03-L2,F-03-L2,1.9,0.53,2.45,1.916,0.5,2.45,-0.016,0.03,0.0,0.034
WH1|F|04|1|SKU31660,SKU31660,F-04-L1,F-04-L1,1.9,-1.18,0.75,1.916,-1.15,0.75,-0.016,-0.03,0.0,0.034
WH1|G|04|1|SKU72275,SKU72275,G-04-L1,G-04-L1,4.1,-1.32,0.75,4.084,-1.35,0.75,0.016,0.03,0.0,0.034
WH1|G|04|3|SKU19265,SKU19265,G-04-L3,G-04-L3,4.1,-1.32,4.15,4.084,-1.35,4.15,0.016,0.03,0.0,0.034
WH1|H|03|2|SKU78492,SKU78492,H-03-L2,H-03-L2,6.5,1.18,2.45,6.516,1.15,2.45,-0.016,0.03,0.0,0.034
WH1|A|04|2|SKU12617,SKU12617,A-04-L2,A-04-L2,-9.7,-0.58,2.45,-9.716,-0.55,2.45,0.016,-0.03,0.0,0.034
WH1|C|04|2|SKU48385,SKU48385,C-04-L2,C-04-L2,-5.1,-0.58,2.45,-5.116,-0.55,2.45,0.016,-0.03,0.0,0.034
WH1|B|04|2|SKU87378,SKU87378,B-04-L2,B-04-L2,-7.3,-2.02,2.45,-7.284,-2.05,2.45,-0.016,0.03,0.0,0.034
WH1|C|04|2|SKU55684,SKU55684,C-04-L2,C-04-L2,-5.1,-1.38,2.45,-5.116,-1.35,2.45,0.016,-0.03,0.0,0.034
WH1|D|02|3|SKU98997,SKU98997,D-02-L3,D-02-L3,-2.7,3.28,4.15,-2.684,3.25,4.15,-0.016,0.03,0.0,0.034
WH1|E|02|3|SKU45088,SKU45088,E-02-L3,E-02-L3,-0.5,3.98,4.15,-0.516,3.95,4.15,0.016,0.03,0.0,0.034
WH1|F|05|2|SKU87462,SKU87462,F-05-L2,F-05-L2,1.9,-3.22,2.45,1.916,-3.25,2.45,-0.016,0.03,0.0,0.034
WH1|H|04|2|SKU17597,SKU17597,H-04-L2,H-04-L2,6.5,-1.12,2.45,6.516,-1.15,2.45,-0.016,0.03,0.0,0.034
WH1|E|06|2|SKU91026,SKU91026,E-06-L2,E-06-L2,-0.5,-7.57,2.45,-0.516,-7.55,2.45,0.016,-0.02,0.0,0.026
WH1|B|04|3|SKU38314,SKU38314,B-04-L3,B-04-L3,-7.3,-0.62,4.15,-7.284,-0.6,4.15,-0.016,-0.02,0.0,0.026
WH1|B|04|3|SKU89276,SKU89276,B-04-L3,B-04-L3,-7.3,-2.12,4.15,-7.284,-2.1,4.15,-0.016,-0.02,0.0,0.026
WH1|C|04|1|SKU11887,SKU11887,C-04-L1,C-04-L1,-5.1,-1.23,0.75,-5.116,-1.25,0.75,0.016,0.02,0.0,0.026
WH1|C|04|1|SKU59099,SKU59099,C-04-L1,C-04-L1,-5.1,-0.48,0.75,-5.116,-0.5,0.75,0.016,0.02,0.0,0.026
WH1|C|02|2|SKU11899,SKU11899,C-02-L2,C-02-L2,-5.1,3.23,2.45,-5.116,3.25,2.45,0.016,-0.02,0.0,0.026
WH1|E|05|1|SKU26436,SKU26436,E-05-L1,E-05-L1,-0.5,-3.33,0.75,-0.516,-3.35,0.75,0.016,0.02,0.0,0.026
WH1|E|04|1|SKU19836,SKU19836,E-04-L1,E-04-L1,-0.5,-0.53,0.75,-0.516,-0.55,0.75,0.016,0.02,0.0,0.026
WH1|E|03|2|SKU11117,SKU11117,E-03-L2,E-03-L2,-0.5,2.03,2.45,-0.516,2.05,2.45,0.016,-0.02,0.0,0.026
WH1|E|04|2|SKU84970,SKU84970,E-04-L2,E-04-L2,-0.5,-2.07,2.45,-0.516,-2.05,2.45,0.016,-0.02,0.0,0.026
WH1|E|05|2|SKU26105,SKU26105,E-05-L2,E-05-L2,-0.5,-3.27,2.45,-0.516,-3.25,2.45,0.016,-0.02,0.0,0.026
WH1|F|02|3|SKU85559,SKU85559,F-02-L3,F-02-L3,1.9,3.23,4.15,1.916,3.25,4.15,-0.016,-0.02,0.0,0.026
WH1|F|03|3|SKU15280,SKU15280,F-03-L3,F-03-L3,1.9,1.43,4.15,1.916,1.45,4.15,-0.016,-0.02,0.0,0.026
WH1|F|04|3|SKU54594,SKU54594,F-04-L3,F-04-L3,1.9,-1.37,4.15,1.916,-1.35,4.15,-0.016,-0.02,0.0,0.026
WH1|F|04|2|SKU49483,SKU49483,F-04-L2,F-04-L2,1.9,-0.58,2.45,1.916,-0.6,2.45,-0.016,0.02,0.0,0.026
WH1|G|03|1|SKU27576,SKU27576,G-03-L1,G-03-L1,4.1,2.17,0.75,4.084,2.15,0.75,0.016,0.02,0.0,0.026
WH1|H|03|3|SKU30210,SKU30210,H-03-L3,H-03-L3,6.5,1.33,4.15,6.516,1.35,4.15,-0.016,-0.02,0.0,0.026
WH1|H|05|3|SKU74846,SKU74846,H-05-L3,H-05-L3,6.5,-3.22,4.15,6.516,-3.2,4.15,-0.016,-0.02,0.0,0.026
WH1|H|05|3|SKU98598,SKU98598,H-05-L3,H-05-L3,6.5,-3.97,4.15,6.516,-3.95,4.15,-0.016,-0.02,0.0,0.026
WH1|H|05|2|SKU86291,SKU86291,H-05-L2,H-05-L2,6.5,-3.28,2.45,6.516,-3.3,2.45,-0.016,0.02,0.0,0.026
WH1|C|01|2|SKU36782,SKU36782,C-01-L2,C-01-L2,-5.1,6.53,2.45,-5.116,6.55,2.45,0.016,-0.02,0.0,0.026
WH1|E|06|1|SKU64637,SKU64637,E-06-L1,E-06-L1,-0.5,-6.03,0.75,-0.516,-6.05,0.75,0.016,0.02,0.0,0.026
WH1|E|02|2|SKU44286,SKU44286,E-02-L2,E-02-L2,-0.5,4.73,2.45,-0.516,4.75,2.45,0.016,-0.02,0.0,0.026
WH1|F|01|3|SKU91816,SKU91816,F-01-L3,F-01-L3,1.9,5.83,4.15,1.916,5.85,4.15,-0.016,-0.02,0.0,0.026
WH1|H|06|3|SKU87212,SKU87212,H-06-L3,H-06-L3,6.5,-6.97,4.15,6.516,-6.95,4.15,-0.016,-0.02,0.0,0.026
WH1|C|02|1|SKU63757,SKU63757,C-02-L1,C-02-L1,-5.1,4.86,0.75,-5.116,4.85,0.75,0.016,0.01,0.0,0.019
