qr,product_id,filed,truth,est_x,est_y,est_z,true_x,true_y,true_z,dx_m,dy_m,dz_m,offset_m
WH1|H|05|3|SKU62209,SKU62209,H-05-L3,H-05-L3,6.5,-4.83,4.15,6.516,-4.8,4.2,-0.016,-0.03,-0.05,0.06
WH1|H|06|3|SKU29524,SKU29524,H-06-L3,H-06-L3,6.5,-6.08,4.15,6.516,-6.05,4.2,-0.016,-0.03,-0.05,0.06
WH1|H|06|2|SKU29156,SKU29156,H-06-L2,H-06-L2,6.5,-6.72,2.45,6.516,-6.75,2.5,-0.016,0.03,-0.05,0.06
WH1|A|05|1|SKU59306,SKU59306,A-05-L1,A-05-L1,-9.7,-3.22,0.75,-9.716,-3.25,0.7,0.016,0.03,0.05,0.06
WH1|A|03|1|SKU76985,SKU76985,A-03-L1,A-03-L1,-9.7,2.03,0.75,-9.716,2.0,0.8,0.016,0.03,-0.05,0.06
WH1|H|04|1|SKU12189,SKU12189,H-04-L1,H-04-L1,6.5,-1.38,0.75,6.516,-1.35,0.7,-0.016,-0.03,0.05,0.06
WH1|A|03|2|SKU81776,SKU81776,A-03-L2,A-03-L2,-9.7,0.62,2.45,-9.716,0.65,2.5,0.016,-0.03,-0.05,0.06
WH1|E|04|3|SKU73250,SKU73250,E-04-L3,E-04-L3,-0.5,-1.32,4.15,-0.516,-1.35,4.2,0.016,0.03,-0.05,0.06
WH1|E|03|3|SKU90215,SKU90215,E-03-L3,E-03-L3,-0.5,1.58,4.15,-0.516,1.55,4.2,0.016,0.03,-0.05,0.06
WH1|C|03|2|SKU81476,SKU81476,C-03-L2,C-03-L2,-5.1,1.12,2.45,-5.116,1.15,2.5,0.016,-0.03,-0.05,0.06
WH1|C|05|2|SKU33863,SKU33863,C-05-L2,C-05-L2,-5.1,-3.23,2.45,-5.116,-3.2,2.5,0.016,-0.03,-0.05,0.06
WH1|E|05|3|SKU29439,SKU29439,E-05-L3,E-05-L3,-0.5,-3.37,4.15,-0.516,-3.4,4.2,0.016,0.03,-0.05,0.06
WH1|F|03|2|SKU37019,SKU37019,F-03-L2,F-03-L2,1.9,2.13,2.45,1.916,2.1,2.5,-0.016,0.03,-0.05,0.06
WH1|F|02|2|SKU82953,SKU82953,F-02-L2,F-02-L2,1.9,3.88,2.45,1.916,3.85,2.5,-0.016,0.03,-0.05,0.06
WH1|A|06|1|SKU80544,SKU80544,A-06-L1,A-06-L1,-9.7,-6.07,0.75,-9.716,-6.1,0.8,0.016,0.03,-0.05,0.06
WH1|B|05|3|SKU28787,SKU28787,B-05-L3,B-05-L3,-7.3,-4.93,4.15,-7.284,-4.9,4.2,-0.016,-0.03,-0.05,0.06
WH1|C|05|2|SKU88096,SKU88096,C-05-L2,C-05-L2,-5.1,-4.93,2.45,-5.116,-4.9,2.5,0.016,-0.03,-0.05,0.06
WH1|E|01|2|SKU77994,SKU77994,E-01-L2,E-01-L2,-0.5,7.43,2.45,-0.516,7.4,2.5,0.016,0.03,-0.05,0.06
WH1|H|01|2|SKU40354,SKU40354,H-01-L2,H-01-L2,6.5,7.43,2.45,6.516,7.4,2.5,-0.016,0.03,-0.05,0.06
WH1|H|02|3|SKU92803,SKU92803,H-02-L3,H-02-L3,6.5,4.88,4.15,6.516,4.9,4.1,-0.016,-0.02,0.05,0.056
WH1|B|04|3|SKU88630,SKU88630,B-04-L3,B-04-L3,-7.3,-1.37,4.15,-7.284,-1.35,4.1,-0.016,-0.02,0.05,0.056
WH1|F|05|3|SKU30746,SKU30746,F-05-L3,F-05-L3,1.9,-3.22,4.15,1.916,-3.2,4.1,-0.016,-0.02,0.05,0.056
WH1|H|03|3|SKU95867,SKU95867,H-03-L3,H-03-L3,6.5,2.13,4.15,6.516,2.15,4.1,-0.016,-0.02,0.05,0.056
WH1|H|03|3|SKU89773,SKU89773,H-03-L3,H-03-L3,6.5,0.53,4.15,6.516,0.55,4.1,-0.016,-0.02,0.05,0.056
WH1|H|04|3|SKU25884,SKU25884,H-04-L3,H-04-L3,6.5,-1.47,4.15,6.516,-1.45,4.1,-0.016,-0.02,0.05,0.056
WH1|B|01|3|SKU33968,SKU33968,B-01-L3,B-01-L3,-7.3,5.83,4.15,-7.284,5.85,4.1,-0.016,-0.02,0.05,0.056
WH1|H|01|3|SKU64260,SKU64260,H-01-L3,H-01-L3,6.5,5.78,4.15,6.516,5.8,4.1,-0.016,-0.02,0.05,0.056
WH1|H|06|3|SKU50415,SKU50415,H-06-L3,H-06-L3,6.5,-7.67,4.15,6.516,-7.65,4.1,-0.016,-0.02,0.05,0.056
WH1|C|02|2|SKU19376,SKU19376,C-02-L2,C-02-L2,-5.1,4.93,2.45,-5.116,4.95,2.4,0.016,-0.02,0.05,0.056
WH1|E|01|2|SKU11959,SKU11959,E-01-L2,E-01-L2,-0.5,5.88,2.45,-0.516,5.9,2.4,0.016,-0.02,0.05,0.056
WH1|B|04|2|SKU44580,SKU44580,B-04-L2,B-04-L2,-7.3,-1.23,2.45,-7.284,-1.25,2.4,-0.016,0.02,0.05,0.056
WH1|E|02|2|SKU36014,SKU36014,E-02-L2,E-02-L2,-0.5,3.23,2.45,-0.516,3.25,2.4,0.016,-0.02,0.05,0.056
WH1|E|03|2|SKU58973,SKU58973,E-03-L2,E-03-L2,-0.5,1.23,2.45,-0.516,1.25,2.4,0.016,-0.02,0.05,0.056
WH1|E|03|2|SKU99421,SKU99421,E-03-L2,E-03-L2,-0.5,0.53,2.45,-0.516,0.55,2.4,0.016,-0.02,0.05,0.056
WH1|E|04|2|SKU21368,SKU21368,E-04-L2,E-04-L2,-0.5,-1.27,2.45,-0.516,-1.25,2.4,0.016,-0.02,0.05,0.056
WH1|F|05|2|SKU56391,SKU56391,F-05-L2,F-05-L2,1.9,-3.93,2.45,1.916,-3.95,2.4,-0.016,0.02,0.05,0.056
WH1|F|04|2|SKU72250,SKU72250,F-04-L2,F-04-L2,1.9,-2.18,2.45,1.916,-2.2,2.4,-0.016,0.02,0.05,0.056
WH1|G|04|2|SKU93552,SKU93552,G-04-L2,G-04-L2,4.1,-2.27,2.45,4.084,-2.25,2.4,0.016,-0.02,0.05,0.056
WH1|A|02|1|SKU63785,SKU63785,A-02-L1,A-02-L1,-9.7,4.82,0.75,-9.716,4.8,0.7,0.016,0.02,0.05,0.056
WH1|B|01|1|SKU98221,SKU98221,B-01-L1,B-01-L1,-7.3,7.68,0.75,-7.284,7.7,0.7,-0.016,-0.02,0.05,0.056
WH1|C|06|1|SKU25299,SKU25299,C-06-L1,C-06-L1,-5.1,-6.63,0.75,-5.116,-6.65,0.8,0.016,0.02,-0.05,0.056
WH1|C|05|1|SKU49738,SKU49738,C-05-L1,C-05-L1,-5.1,-4.88,0.75,-5.116,-4.9,0.8,0.016,0.02,-0.05,0.056
WH1|E|05|1|SKU88430,SKU88430,E-05-L1,E-05-L1,-0.5,-4.13,0.75,-0.516,-4.15,0.7,0.016,0.02,0.05,0.056
WH1|C|01|2|SKU97857,SKU97857,C-01-L2,C-01-L2,-5.1,5.83,2.45,-5.116,5.85,2.4,0.016,-0.02,0.05,0.056
WH1|G|06|2|SKU32115,SKU32115,G-06-L2,G-06-L2,4.1,-7.67,2.45,4.084,-7.65,2.4,0.016,-0.02,0.05,0.056
WH1|C|03|1|SKU17190,SKU17190,C-03-L1,C-03-L1,-5.1,0.52,0.75,-5.116,0.5,0.7,0.016,0.02,0.05,0.056
WH1|E|02|1|SKU88871,SKU88871,E-02-L1,E-02-L1,-0.5,3.23,0.75,-0.516,3.25,0.8,0.016,-0.02,-0.05,0.056
WH1|G|03|1|SKU15115,SKU15115,G-03-L1,G-03-L1,4.1,1.27,0.75,4.084,1.25,0.8,0.016,0.02,-0.05,0.056
WH1|B|01|3|SKU61024,SKU61024,B-01-L3,B-01-L3,-7.3,6.63,4.15,-7.284,6.65,4.2,-0.016,-0.02,-0.05,0.056
WH1|B|02|3|SKU44437,SKU44437,B-02-L3,B-02-L3,-7.3,4.88,4.15,-7.284,4.9,4.2,-0.016,-0.02,-0.05,0.056
WH1|B|05|3|SKU81162,SKU81162,B-05-L3,B-05-L3,-7.3,-4.07,4.15,-7.284,-4.05,4.2,-0.016,-0.02,-0.05,0.056
WH1|E|06|2|SKU98706,SKU98706,E-06-L2,E-06-L2,-0.5,-6.07,2.45,-0.516,-6.05,2.5,0.016,-0.02,-0.05,0.056
WH1|A|06|1|SKU59435,SKU59435,A-06-L1,A-06-L1,-9.7,-7.58,0.75,-9.716,-7.6,0.7,0.016,0.02,0.05,0.056
WH1|C|06|1|SKU10510,SKU10510,C-06-L1,C-06-L1,-5.1,-5.83,0.75,-5.116,-5.85,0.7,0.016,0.02,0.05,0.056
WH1|C|05|1|SKU37565,SKU37565,C-05-L1,C-05-L1,-5.1,-4.03,0.75,-5.116,-4.05,0.8,0.016,0.02,-0.05,0.056
WH1|E|06|1|SKU58990,SKU58990,E-06-L1,E-06-L1,-0.5,-6.83,0.75,-0.516,-6.85,0.7,0.016,0.02,0.05,0.056
WH1|E|05|1|SKU45832,SKU45832,E-05-L1,E-05-L1,-0.5,-4.83,0.75,-0.516,-4.85,0.7,0.016,0.02,0.05,0.056
WH1|B|02|3|SKU41827,SKU41827,B-02-L3,B-02-L3,-7.3,3.18,4.15,-7.284,3.2,4.2,-0.016,-0.02,-0.05,0.056
WH1|B|05|3|SKU77305,SKU77305,B-05-L3,B-05-L3,-7.3,-3.22,4.15,-7.284,-3.2,4.2,-0.016,-0.02,-0.05,0.056
WH1|C|03|2|SKU62265,SKU62265,C-03-L2,C-03-L2,-5.1,2.08,2.45,-5.116,2.1,2.5,0.016,-0.02,-0.05,0.056
WH1|F|04|3|SKU66639,SKU66639,F-04-L3,F-04-L3,1.9,-2.17,4.15,1.916,-2.15,4.2,-0.016,-0.02,-0.05,0.056
WH1|H|03|2|SKU40590,SKU40590,H-03-L2,H-03-L2,6.5,2.07,2.45,6.516,2.05,2.5,-0.016,0.02,-0.05,0.056
WH1|B|02|3|SKU70446,SKU70446,B-02-L3,B-02-L3,-7.3,4.03,4.15,-7.284,4.05,4.2,-0.016,-0.02,-0.05,0.056
WH1|E|06|3|SKU73380,SKU73380,E-06-L3,E-06-L3,-0.5,-6.73,4.15,-0.516,-6.75,4.2,0.016,0.02,-0.05,0.056
WH1|F|06|3|SKU73404,SKU73404,F-06-L3,F-06-L3,1.9,-6.02,4.15,1.916,-6.0,4.2,-0.016,-0.02,-0.05,0.056
WH1|F|06|3|SKU11238,SKU11238,F-06-L3,F-06-L3,1.9,-6.97,4.15,1.916,-6.95,4.2,-0.016,-0.02,-0.05,0.056
WH1|F|05|2|SKU50735,SKU50735,F-05-L2,F-05-L2,1.9,-4.73,2.45,1.916,-4.75,2.5,-0.016,0.02,-0.05,0.056
WH1|F|01|2|SKU28114,SKU28114,F-01-L2,F-01-L2,1.9,7.52,2.45,1.916,7.5,2.5,-0.016,0.02,-0.05,0.056
WH1|G|05|2|SKU32140,SKU32140,G-05-L2,G-05-L2,4.1,-4.72,2.45,4.084,-4.7,2.5,0.016,-0.02,-0.05,0.056
WH1|B|03|3|SKU21797,SKU21797,B-03-L3,B-03-L3,-7.3,2.24,4.15,-7.284,2.25,4.1,-0.016,-0.01,0.05,0.053
WH1|E|06|2|SKU42808,SKU42808,E-06-L2,E-06-L2,-0.5,-6.86,2.45,-0.516,-6.85,2.4,0.016,-0.01,0.05,0.053
WH1|E|02|2|SKU14353,SKU14353,E-02-L2,E-02-L2,-0.5,3.94,2.45,-0.516,3.95,2.4,0.016,-0.01,0.05,0.053
WH1|G|02|2|SKU74788,SKU74788,G-02-L2,G-02-L2,4.1,3.19,2.45,4.084,3.2,2.4,0.016,-0.01,0.05,0.053
WH1|E|04|2|SKU83142,SKU83142,E-04-L2,E-04-L2,-0.5,-0.56,2.45,-0.516,-0.55,2.4,0.016,-0.01,0.05,0.053
WH1|E|05|2|SKU97324,SKU97324,E-05-L2,E-05-L2,-0.5,-3.96,2.45,-0.516,-3.95,2.4,0.016,-0.01,0.05,0.053
WH1|H|06|2|SKU87305,SKU87305,H-06-L2,H-06-L2,6.5,-7.59,2.45,6.516,-7.6,2.4,-0.016,0.01,0.05,0.053
WH1|E|02|1|SKU81639,SKU81639,E-02-L1,E-02-L1,-0.5,4.86,0.75,-0.516,4.85,0.8,0.016,0.01,-0.05,0.053
WH1|C|05|1|SKU17433,SKU17433,C-05-L1,C-05-L1,-5.1,-3.19,0.75,-5.116,-3.2,0.8,0.016,0.01,-0.05,0.053
WH1|G|02|1|SKU87360,SKU87360,G-02-L1,G-02-L1,4.1,3.94,0.75,4.084,3.95,0.8,0.016,-0.01,-0.05,0.053
WH1|C|03|1|SKU37786,SKU37786,C-03-L1,C-03-L1,-5.1,1.36,0.75,-5.116,1.35,0.8,0.016,0.01,-0.05,0.053
WH1|G|04|1|SKU20703,SKU20703,G-04-L1,G-04-L1,4.1,-0.56,0.75,4.084,-0.55,0.8,0.016,-0.01,-0.05,0.053
WH1|C|03|1|SKU64067,SKU64067,C-03-L1,C-03-L1,-5.1,2.21,0.75,-5.116,2.2,0.7,0.016,0.01,0.05,0.053
WH1|C|01|1|SKU12812,SKU12812,C-01-L1,C-01-L1,-5.1,7.51,0.75,-5.116,7.5,0.8,0.016,0.01,-0.05,0.053
WH1|E|06|1|SKU18924,SKU18924,E-06-L1,E-06-L1,-0.5,-7.54,0.75,-0.516,-7.55,0.7,0.016,0.01,0.05,0.053
WH1|E|03|1|SKU15252,SKU15252,E-03-L1,E-03-L1,-0.5,2.01,0.75,-0.516,2.0,0.8,0.016,0.01,-0.05,0.053
WH1|F|01|1|SKU45207,SKU45207,F-01-L1,F-01-L1,1.9,7.59,0.75,1.916,7.6,0.7,-0.016,-0.01,0.05,0.053
WH1|G|01|1|SKU17848,SKU17848,G-01-L1,G-01-L1,4.1,6.84,0.75,4.084,6.85,0.8,0.016,-0.01,-0.05,0.053
WH1|H|01|1|SKU43405,SKU43405,H-01-L1,H-01-L1,6.5,7.59,0.75,6.516,7.6,0.7,-0.016,-0.01,0.05,0.053
WH1|F|02|3|SKU79617,SKU79617,F-02-L3,F-02-L3,1.9,4.14,4.15,1.916,4.15,4.2,-0.016,-0.01,-0.05,0.053
